N  | CLASS     | VARIABLE   | DESCRIPTION                                                                 | UNITS      | DIRECTORY              
---|-----------|------------|-----------------------------------------------------------------------------|-------------------------------------
01 | state     | Temp       | potential_temperature                                                       | degC       | /output_glued/
02 | state     | S          | salinity	                                                                  |            | /output_glued/
03 | state     | Eta        | free-surface_r-anomaly                                                      | m          | /output_glued/
04 | state     | U          | zonal velocity	                                                          | m/s        | /output_glued/
05 | state     | V          | meridional velocity                                                         | m/s        | /output_glued/
06 | state     | W          | vertical velocity                                                           | m/s        | /output_glued/

07 | VELTH     | UVELTH     | Zonal Transport of Pot Temp                                                 | degC.m/s   | /output_glued/cropped/
08 | VELTH     | VVELTH     | Meridional Transport of Pot Temp                                            | degC.m/s   | /output_glued/cropped/
09 | VELTH     | WVELTH     | Vertical Transport of Pot Temp                                              | degC.m/s   | /output_glued/cropped/

10 | VELSLT    | UVELSLT    | Zonal Transport of Salinity                                                 | psu.m/s    | /output_glued/cropped/
11 | VELSLT    | VVELSLT    | Meridional Transport of Salinity                                            | psu.m/s    | /output_glued/cropped/
12 | VELSLT    | WVELSLT    | Vertical Transport of Salinity                                              | psu.m/s    | /output_glued/cropped/

13 | RHOAnoma  | RHOAnoma   | Density Anomaly (=Rho-rhoConst)                                             | kg/m^3     | /output_glued/

14 | MXLDEPTH  | MXLDEPTH   | Mixed-Layer Depth (>0)                                                      | m          | /output_glued/
 
15 | oce       | oceTAUX    | zonal surface wind stress, >0 increases                                     | N/m^2      | /output_glued/
16 | oce       | oceTAUY    | meridional surf. wind stress, >0                                            | N/m^2      | /output_glued/
17 | oce       | oceFWflx   | net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity | kg/m^2/s   | /output_glued/
18 | oce       | oceSflux   | net surface Salt flux into the ocean (+=down), >0 increases salinity        | g/m^2/s    | /output_glued/
19 | oce       | oceQnet    | net surface heat flux into the ocean (+=down), >0 increases theta           | W/m^2      | /output_glued/
20 | oce       | oceQsw     | net Short-Wave radiation (+=down), >0 increases theta                       | W/m^2      | /output_glued/
21 | oce       | oceFreez   | heating from freezing of sea-water (allowFreezing=T)                        | W/m^2      | /output_glued/
22 | oce       | oceSPflx   | net surface Salt flux rejected into the ocean during freezing, (+=down)     | g/m^2/s    | /output_glued/
23 | oce       | oceSPDep   | Salt plume depth based on density criterion (>0)                            | m          | /output_glued/

24 | RELAX     | TRELAX     | surface temperature relaxation, >0 increases theta                          | W/m^2      | /output_glued/
25 | RELAX     | SRELAX     | surface salinity relaxation, >0 increases salt                              | g/m^2/s    | /output_glued/

26 | sur       | surForcT   | model surface forcing for Temperature, >0 increases theta                   | W/m^2      | /output_glued/
27 | sur       | surForcS   | model surface forcing for Salinity, >0 increases salinity                   | g/m^2/s    | /output_glued/

28 | TEND      | TOTTTEND   | Tendency of Potential Temperature                                           | psu/day    | /output_glued/cropped/
29 | TEND      | TOTSTEND   | Tendency of Salinity                                                        | degC/day   | /output_glued/cropped/

30 | DF        | DFrE_TH    | Vertical Diffusive Flux of Pot.Temperature (Explicit part)                  | degC.m^3/s | /output_glued/cropped/
31 | DF        | DFxE_TH    | Zonal      Diffusive Flux of Pot.Temperature                                | degC.m^3/s | /output_glued/cropped/
32 | DF	       | DFyE_TH    | Meridional Diffusive Flux of Pot.Temperature               		               | degC.m^3/s | /output_glued/cropped/
33 | DF        | DFrI_TH    | Vertical Diffusive Flux of Pot.Temperature (Implicit part)                  | degC.m^3/s | /output_glued/cropped/
34 | DF        | DFrE_SLT   | Vertical Diffusive Flux of Salinity    (Explicit part)                      | psu.m^3/s  | /output_glued/cropped/
35 | DF        | DFxE_SLT   | Zonal      Diffusive Flux of Salinity                                       | psu.m^3/s  | /output_glued/cropped/
